District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link

Coimabtore,Black,75,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,55,100,7,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,55,100,7,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,55,100,7,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,55,100,7,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,55,100,7,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,55,100,7,1400,20,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,60,105,7.5,1500,25,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,80,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,85,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,90,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,95,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,100,50,110,6.5,1000,30,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Coimabtore,Black,75,55,115,7,1100,35,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
